,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate,circuit_length,num_corners,num_drs_zones,avg_speed_kmh,safety_car_rate,track_type,overtaking_ability
48,GAS,AlphaTauri,11.0,9.0,Finished,1.358000000000004,11.0,2022,Melbourne,85.1185,0.12749999999999773,1.2393357142857122,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
49,ALB,Williams,20.0,10.0,Finished,2.26700000000001,16.0,2022,Melbourne,85.6695,-0.1490000000000009,0.11040683229813786,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
50,ZHO,Alfa Romeo,14.0,11.0,Finished,2.287000000000006,14.0,2022,Melbourne,85.655,0.6835000000000093,-3.013633333333328,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
51,STR,Aston Martin,19.0,12.0,Finished,,20.0,2022,Melbourne,85.336,,-0.39798461538460467,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
52,MSC,Haas F1 Team,15.0,13.0,+1 Lap,2.5970000000000084,15.0,2022,Melbourne,85.602,0.7070000000000078,-1.153949999999994,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
53,MAG,Haas F1 Team,16.0,14.0,+1 Lap,2.38600000000001,17.0,2022,Melbourne,84.895,-0.7070000000000078,-1.1040770270270248,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
54,TSU,AlphaTauri,13.0,15.0,+1 Lap,1.5560000000000116,13.0,2022,Melbourne,84.991,-0.12749999999999773,0.8516645942097738,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
55,LAT,Williams,18.0,16.0,+1 Lap,3.504000000000005,19.0,2022,Melbourne,85.8185,0.1490000000000009,0.3109500000000088,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
56,ALO,Alpine,10.0,17.0,+1 Lap,0.9470000000000027,10.0,2022,Melbourne,84.2615,-0.7755000000000081,2.1826846153846136,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
57,VER,Red Bull Racing,2.0,18.0,Fuel leak,0.28600000000000136,2.0,2022,Melbourne,83.819,0.1560000000000059,-0.07725769230769178,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
58,VET,Aston Martin,17.0,19.0,Accident,3.281000000000006,18.0,2022,Melbourne,,,,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
59,SAI,Ferrari,9.0,20.0,Spun off,1.5400000000000063,9.0,2022,Melbourne,84.029,0.44299999999999784,0.31548571428571487,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
60,VER,Red Bull Racing,1.0,1.0,Finished,9.009,1.0,2022,Imola,80.7535,0.7224999999999966,0.1379278900112235,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
61,PER,Red Bull Racing,3.0,2.0,Finished,10.818000000000012,7.0,2022,Imola,80.031,-0.7224999999999966,1.0996076252723304,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
62,NOR,McLaren,5.0,3.0,Finished,10.141000000000005,3.0,2022,Imola,97.019,,,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
63,RUS,Mercedes,11.0,4.0,Finished,1.7670000000000101,11.0,2022,Imola,81.33500000000001,0.5420000000000016,-0.06407731092437023,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
64,BOT,Alfa Romeo,7.0,5.0,Finished,11.448999999999998,8.0,2022,Imola,,,,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
65,LEC,Ferrari,2.0,6.0,Finished,9.788000000000011,2.0,2022,Imola,81.86,-0.4609999999999985,0.15669642857142846,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
66,TSU,AlphaTauri,12.0,7.0,Finished,1.4840000000000089,16.0,2022,Imola,81.0315,0.09000000000000341,0.39346404184051487,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
67,VET,Aston Martin,13.0,8.0,Finished,12.072000000000003,9.0,2022,Imola,81.6035,-0.26200000000000045,0.7213985431235448,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
68,MAG,Haas F1 Team,8.0,9.0,Finished,10.174000000000007,4.0,2022,Imola,82.283,-0.05499999999999261,0.49049087024087007,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
69,STR,Aston Martin,15.0,10.0,+1 Lap,9.129000000000005,15.0,2022,Imola,81.8655,0.26200000000000045,0.5933976331360957,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
70,ALB,Williams,18.0,11.0,+1 Lap,,20.0,2022,Imola,81.301,-0.8100000000000023,-0.5245006444535829,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
71,GAS,AlphaTauri,17.0,12.0,+1 Lap,1.7420000000000044,17.0,2022,Imola,80.94149999999999,-0.09000000000000341,0.4572971945701355,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
72,HAM,Mercedes,14.0,13.0,+1 Lap,2.1480000000000103,13.0,2022,Imola,80.793,-0.5420000000000016,0.08713538461538435,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
73,OCO,Alpine,16.0,14.0,+1 Lap,3.347999999999999,19.0,2022,Imola,81.686,-0.5914999999999964,-0.01299920079919762,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
