,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
0,VER,Red Bull Racing,1.0,1.0,Finished,95.40950000000001,-0.8014999999999901,0.0468022173876646,0.0,1.0,2024,Sakhir,False
1,PER,Red Bull Racing,5.0,2.0,Finished,96.211,0.8014999999999901,0.04164806426002847,0.3580000000000041,5.0,2024,Sakhir,False
2,SAI,Ferrari,4.0,3.0,Finished,96.104,-0.652000000000001,0.031204924242422917,0.32800000000000296,4.0,2024,Sakhir,False
3,LEC,Ferrari,2.0,4.0,Finished,96.756,0.652000000000001,0.03349927251716927,0.22799999999999443,2.0,2024,Sakhir,False
4,RUS,Mercedes,3.0,5.0,Finished,96.44,-0.19299999999999784,0.02118934048527525,0.3059999999999974,3.0,2024,Sakhir,False
5,NOR,McLaren,7.0,6.0,Finished,96.565,-0.07900000000000773,0.046819631983961295,0.4350000000000023,7.0,2024,Sakhir,False
6,HAM,Mercedes,9.0,7.0,Finished,96.633,0.19299999999999784,0.0221429292929282,0.5309999999999917,9.0,2024,Sakhir,False
7,PIA,McLaren,8.0,8.0,Finished,96.644,0.07900000000000773,0.04459141642927157,0.5040000000000049,8.0,2024,Sakhir,False
8,ALO,Aston Martin,6.0,9.0,Finished,97.179,0.36199999999999477,0.022386063067367786,0.36299999999999955,6.0,2024,Sakhir,False
9,STR,Aston Martin,12.0,10.0,Finished,96.81700000000001,-0.36199999999999477,0.04862944911297922,1.0210000000000008,12.0,2024,Sakhir,False
10,ZHO,Kick Sauber,17.0,11.0,Lapped,97.394,-0.3534999999999968,0.04901504745254746,1.578000000000003,17.0,2024,Sakhir,False
11,MAG,Haas F1 Team,15.0,12.0,Lapped,97.6695,0.8799999999999955,0.06018077200577121,1.3499999999999943,15.0,2024,Sakhir,False
12,RIC,RB,14.0,13.0,Lapped,97.725,0.2179999999999893,0.0842830827067681,1.0990000000000038,14.0,2024,Sakhir,False
13,TSU,RB,11.0,14.0,Lapped,97.507,-0.2179999999999893,0.034504622312670326,0.9500000000000028,11.0,2024,Sakhir,False
14,ALB,Williams,13.0,15.0,Lapped,97.818,0.21050000000001035,0.043345614035085946,1.0420000000000016,13.0,2024,Sakhir,False
15,HUL,Haas F1 Team,10.0,16.0,Lapped,96.7895,-0.8799999999999955,0.04510699945625193,1.3229999999999933,10.0,2024,Sakhir,False
16,OCO,Alpine,19.0,17.0,Lapped,97.843,0.23800000000001376,0.0597795876094513,1.6140000000000043,19.0,2024,Sakhir,False
17,GAS,Alpine,20.0,18.0,Lapped,97.60499999999999,-0.23800000000001376,0.067106262327415,1.7689999999999912,20.0,2024,Sakhir,False
18,BOT,Kick Sauber,16.0,19.0,Lapped,97.7475,0.3534999999999968,0.04931721112459961,1.5769999999999982,16.0,2024,Sakhir,False
19,SAR,Williams,18.0,20.0,Lapped,97.60749999999999,-0.21050000000001035,0.02445455093925743,1.590999999999994,18.0,2024,Sakhir,False
20,VER,Red Bull Racing,1.0,1.0,Finished,92.792,-0.03999999999999204,-0.029654529616725,0.0,1.0,2024,Jeddah,False
21,PER,Red Bull Racing,3.0,2.0,Finished,92.832,0.03999999999999204,-0.04341306620209118,0.33500000000000796,3.0,2024,Jeddah,False
22,LEC,Ferrari,2.0,3.0,Finished,93.305,-0.47449999999999193,-0.06311550522648145,0.3190000000000026,2.0,2024,Jeddah,False
23,PIA,McLaren,5.0,4.0,Finished,93.715,0.05299999999999727,-0.06669250871080475,0.6170000000000044,5.0,2024,Jeddah,False
24,ALO,Aston Martin,4.0,5.0,Finished,93.7615,-2.028500000000008,-0.07788850174216265,0.37400000000000944,4.0,2024,Jeddah,False
25,RUS,Mercedes,7.0,6.0,Finished,93.756,0.03849999999999909,-0.07122682926829263,0.8440000000000083,7.0,2024,Jeddah,False
26,BEA,Ferrari,11.0,7.0,Finished,93.7795,0.47449999999999193,-0.09622996515679431,1.1700000000000017,11.0,2024,Jeddah,False
27,NOR,McLaren,6.0,8.0,Finished,93.662,-0.05299999999999727,0.04936013986013863,0.6600000000000108,6.0,2024,Jeddah,False
28,HAM,Mercedes,8.0,9.0,Finished,93.7175,-0.03849999999999909,0.06915934065934143,0.9879999999999995,8.0,2024,Jeddah,False
29,HUL,Haas F1 Team,15.0,10.0,Finished,94.6495,-0.6670000000000016,-0.045202941176468774,1.5830000000000126,15.0,2024,Jeddah,False
30,ALB,Williams,12.0,11.0,Finished,95.32050000000001,-0.2804999999999893,-0.10906236933797922,1.5080000000000098,12.0,2024,Jeddah,False
31,MAG,Haas F1 Team,13.0,12.0,Finished,95.3165,0.6670000000000016,-0.10099250871080116,1.5480000000000018,13.0,2024,Jeddah,False
32,OCO,Alpine,17.0,13.0,Lapped,95.4,,-0.07629165103189559,2.003,17.0,2024,Jeddah,False
33,SAR,Williams,19.0,14.0,Lapped,95.601,0.2804999999999893,-0.08222917448405363,2.054000000000002,19.0,2024,Jeddah,False
34,TSU,RB,9.0,15.0,Lapped,95.378,-0.269999999999996,-0.07876557223264578,1.0750000000000028,9.0,2024,Jeddah,False
35,RIC,RB,14.0,16.0,Lapped,95.648,0.269999999999996,-0.04763198874296545,1.5530000000000115,14.0,2024,Jeddah,False
36,BOT,Kick Sauber,16.0,17.0,Lapped,95.447,0.4450000000000074,-0.051741107576631744,1.7070000000000078,16.0,2024,Jeddah,False
37,ZHO,Kick Sauber,20.0,18.0,Lapped,95.002,-0.4450000000000074,-0.07803571428571339,,20.0,2024,Jeddah,False
38,STR,Aston Martin,10.0,19.0,Retired,95.79,2.028500000000008,,1.1000000000000085,10.0,2024,Jeddah,True
39,GAS,Alpine,18.0,20.0,Retired,,,,2.007000000000005,18.0,2024,Jeddah,True
40,SAI,Ferrari,2.0,1.0,Finished,81.492,-0.3544999999999874,0.013102862178948307,0.269999999999996,2.0,2024,Melbourne,False
41,LEC,Ferrari,4.0,2.0,Finished,81.84649999999999,0.3544999999999874,-0.02776286040399788,0.519999999999996,5.0,2024,Melbourne,False
42,NOR,McLaren,3.0,3.0,Finished,81.729,-0.27200000000000557,-0.022417907334589142,0.3999999999999915,4.0,2024,Melbourne,False
43,PIA,McLaren,5.0,4.0,Finished,82.001,0.27200000000000557,-0.0030288018660365483,0.6569999999999965,6.0,2024,Melbourne,False
44,PER,Red Bull Racing,6.0,5.0,Finished,81.849,-2.25,0.012370500110655028,0.35899999999999466,3.0,2024,Melbourne,False
45,STR,Aston Martin,9.0,6.0,Finished,82.9315,0.22550000000001091,-0.02620896963965974,1.1569999999999965,9.0,2024,Melbourne,False
46,TSU,RB,8.0,7.0,Finished,82.981,-0.03700000000000614,-0.007197237884913085,0.8729999999999905,8.0,2024,Melbourne,False
47,ALO,Aston Martin,10.0,8.0,Finished,82.70599999999999,-0.22550000000001091,-0.013147613738917985,1.6370000000000005,10.0,2024,Melbourne,False
48,HUL,Haas F1 Team,16.0,9.0,Finished,82.85749999999999,-0.33150000000000546,0.030989847166938183,2.060999999999993,16.0,2024,Melbourne,False
49,MAG,Haas F1 Team,14.0,10.0,Lapped,83.189,0.33150000000000546,0.027712805394103337,1.5120000000000005,14.0,2024,Melbourne,False
50,ALB,Williams,12.0,11.0,Lapped,83.0,,-0.019824087140928332,1.2519999999999953,12.0,2024,Melbourne,False
51,RIC,RB,18.0,12.0,Lapped,83.018,0.03700000000000614,-0.011330289192412635,2.1699999999999875,18.0,2024,Melbourne,False
52,GAS,Alpine,17.0,13.0,Lapped,83.215,0.3059999999999974,-0.009054037267080088,2.066999999999993,17.0,2024,Melbourne,False
53,BOT,Kick Sauber,13.0,14.0,Lapped,82.897,-0.18599999999999284,0.0033498094096164875,1.4249999999999972,13.0,2024,Melbourne,False
54,ZHO,Kick Sauber,19.0,15.0,Lapped,83.083,0.18599999999999284,-0.038497095908893726,2.272999999999996,19.0,2024,Melbourne,False
55,OCO,Alpine,15.0,16.0,Lapped,82.909,-0.3059999999999974,0.034221584883834276,1.7819999999999965,15.0,2024,Melbourne,False
56,RUS,Mercedes,7.0,17.0,Retired,82.627,-0.6189999999999998,-0.020522067106674168,0.8089999999999975,7.0,2024,Melbourne,True
57,HAM,Mercedes,11.0,18.0,Retired,83.246,0.6189999999999998,0.0855000000000024,1.0449999999999875,11.0,2024,Melbourne,True
58,VER,Red Bull Racing,1.0,19.0,Retired,84.099,2.25,,0.0,1.0,2024,Melbourne,True
59,VER,Red Bull Racing,1.0,1.0,Finished,96.402,-0.17099999999999227,0.06068864472134068,0.0,1.0,2024,Suzuka,False
60,PER,Red Bull Racing,2.0,2.0,Finished,96.573,0.17099999999999227,0.055223102239063446,0.0660000000000025,2.0,2024,Suzuka,False
61,SAI,Ferrari,4.0,3.0,Finished,96.901,0.21999999999999886,0.0440073330916554,0.48499999999999943,4.0,2024,Suzuka,False
62,LEC,Ferrari,8.0,4.0,Finished,96.681,-0.21999999999999886,-0.034044314218361196,0.5889999999999986,8.0,2024,Suzuka,False
63,NOR,McLaren,3.0,5.0,Finished,96.375,-0.6089999999999947,0.0504818356066224,0.2920000000000016,3.0,2024,Suzuka,False
64,ALO,Aston Martin,5.0,6.0,Finished,97.289,-0.4399999999999977,0.051384704650123125,0.4890000000000043,5.0,2024,Suzuka,False
65,RUS,Mercedes,9.0,7.0,Finished,96.72399999999999,0.059499999999985675,0.06897961763599293,0.8109999999999928,9.0,2024,Suzuka,False
66,PIA,McLaren,6.0,8.0,Finished,96.984,0.6089999999999947,0.07969756657057134,0.5630000000000024,6.0,2024,Suzuka,False
67,HAM,Mercedes,7.0,9.0,Finished,96.6645,-0.059499999999985675,0.09466177156177126,0.5690000000000026,7.0,2024,Suzuka,False
68,TSU,RB,10.0,10.0,Lapped,97.595,,0.037595399654520724,1.215999999999994,10.0,2024,Suzuka,False
69,HUL,Haas F1 Team,12.0,11.0,Lapped,98.414,-0.125,0.04261384337344716,1.296999999999997,12.0,2024,Suzuka,False
70,STR,Aston Martin,16.0,12.0,Lapped,97.729,0.4399999999999977,-0.37728701829315264,1.8269999999999982,16.0,2024,Suzuka,False
71,MAG,Haas F1 Team,18.0,13.0,Lapped,98.539,0.125,-0.21470945477599557,1.9339999999999975,18.0,2024,Suzuka,False
72,BOT,Kick Sauber,13.0,14.0,Lapped,98.09200000000001,-1.701999999999984,0.06375778531848277,1.3960000000000008,13.0,2024,Suzuka,False
73,OCO,Alpine,15.0,15.0,Lapped,98.702,-0.17100000000000648,-0.2980861937030281,1.6189999999999998,15.0,2024,Suzuka,False
74,GAS,Alpine,17.0,16.0,Lapped,98.873,0.17100000000000648,-0.29581409094876443,1.921999999999997,17.0,2024,Suzuka,False
75,SAR,Williams,19.0,17.0,Lapped,98.13,,-0.19160275482093453,1.941999999999993,19.0,2024,Suzuka,False
76,ZHO,Kick Sauber,20.0,18.0,Retired,99.794,1.701999999999984,-8.8525,1.945999999999998,20.0,2024,Suzuka,True
77,RIC,RB,11.0,19.0,Retired,,,,1.2749999999999915,11.0,2024,Suzuka,True
78,ALB,Williams,14.0,20.0,Retired,,,,1.516999999999996,14.0,2024,Suzuka,True
79,VER,Red Bull Racing,1.0,1.0,Finished,99.591,-0.5045000000000073,0.06657578872740111,0.0,1.0,2024,Shanghai,False
80,NOR,McLaren,4.0,2.0,Finished,100.284,-1.2139999999999844,0.05714769230769386,0.5050000000000097,4.0,2024,Shanghai,False
81,PER,Red Bull Racing,2.0,3.0,Finished,100.0955,0.5045000000000073,0.031707692307695184,0.32200000000000273,2.0,2024,Shanghai,False
82,LEC,Ferrari,6.0,4.0,Finished,100.51050000000001,-0.09849999999998715,0.039986153846152846,0.6290000000000049,6.0,2024,Shanghai,False
83,SAI,Ferrari,7.0,5.0,Finished,100.609,0.09849999999998715,0.007260799190694155,0.6370000000000005,7.0,2024,Shanghai,False
84,RUS,Mercedes,8.0,6.0,Finished,100.7825,-0.7139999999999986,0.01891586538461497,0.7730000000000103,8.0,2024,Shanghai,False
85,ALO,Aston Martin,3.0,7.0,Finished,100.66550000000001,-0.805499999999995,0.0761408508158483,0.48799999999999955,3.0,2024,Shanghai,False
86,PIA,McLaren,5.0,8.0,Finished,101.49799999999999,1.2139999999999844,0.031029230769231617,0.6129999999999995,5.0,2024,Shanghai,False
87,HAM,Mercedes,18.0,9.0,Finished,101.4965,0.7139999999999986,0.06438597285067947,1.9129999999999967,18.0,2024,Shanghai,False
88,HUL,Haas F1 Team,9.0,10.0,Finished,101.63550000000001,-1.103999999999985,0.061448285048284465,0.9440000000000026,9.0,2024,Shanghai,False
89,OCO,Alpine,13.0,11.0,Finished,101.6515,0.20399999999999352,0.04496357466063379,1.5630000000000024,13.0,2024,Shanghai,False
90,ALB,Williams,14.0,12.0,Finished,101.7655,-0.6645000000000039,0.02951685520362147,1.581000000000003,14.0,2024,Shanghai,False
91,GAS,Alpine,15.0,13.0,Finished,101.4475,-0.20399999999999352,0.03959194444444312,1.8029999999999973,15.0,2024,Shanghai,False
92,ZHO,Kick Sauber,16.0,14.0,Finished,101.7435,-0.8624999999999972,0.09405289912107954,1.8449999999999989,16.0,2024,Shanghai,False
93,STR,Aston Martin,11.0,15.0,Finished,101.471,0.805499999999995,0.10101656728027156,1.1779999999999973,11.0,2024,Shanghai,False
94,MAG,Haas F1 Team,17.0,16.0,Finished,102.73949999999999,1.103999999999985,0.02417846153846059,1.8560000000000088,17.0,2024,Shanghai,False
95,SAR,Williams,20.0,17.0,Finished,102.43,0.6645000000000039,0.08393535980148795,2.6980000000000075,20.0,2024,Shanghai,False
96,RIC,RB,12.0,18.0,Retired,103.37899999999999,0.2839999999999918,0.18935796766743826,1.274000000000001,12.0,2024,Shanghai,True
97,TSU,RB,19.0,19.0,Retired,103.095,-0.2839999999999918,0.0859515151515123,2.0859999999999985,19.0,2024,Shanghai,True
98,BOT,Kick Sauber,10.0,20.0,Retired,102.606,0.8624999999999972,0.11676666666666671,1.0050000000000097,10.0,2024,Shanghai,True
99,NOR,McLaren,5.0,1.0,Finished,91.982,-0.7040000000000077,0.0013353846153845075,0.35299999999999443,5.0,2024,Miami,False
100,VER,Red Bull Racing,1.0,2.0,Finished,92.2625,-0.18649999999999523,-0.02336064283578178,0.0,1.0,2024,Miami,False
101,LEC,Ferrari,2.0,3.0,Finished,92.057,-0.45699999999999363,-0.02965275424526619,0.14100000000000534,2.0,2024,Miami,False
102,PER,Red Bull Racing,4.0,4.0,Finished,92.449,0.18649999999999523,-0.06825190207244017,0.2189999999999941,4.0,2024,Miami,False
103,SAI,Ferrari,3.0,5.0,Finished,92.514,0.45699999999999363,-0.0524292307692301,0.21399999999999864,3.0,2024,Miami,False
104,HAM,Mercedes,8.0,6.0,Finished,92.852,-0.22350000000000136,-0.050566923076921476,0.8659999999999997,8.0,2024,Miami,False
105,TSU,RB,10.0,7.0,Finished,93.1705,-0.6329999999999956,-0.04189307692307855,0.9509999999999934,10.0,2024,Miami,False
106,RUS,Mercedes,7.0,8.0,Finished,93.0755,0.22350000000000136,-0.010508827021024092,0.8259999999999934,7.0,2024,Miami,False
107,ALO,Aston Martin,15.0,9.0,Finished,93.4545,-0.021500000000003183,-0.04611177013312301,1.186000000000007,15.0,2024,Miami,False
108,OCO,Alpine,13.0,10.0,Finished,93.4225,0.23499999999999943,-0.031050652431790393,1.1299999999999955,13.0,2024,Miami,False
109,HUL,Haas F1 Team,9.0,11.0,Finished,93.19399999999999,0.05299999999999727,0.0016810586354989202,0.9050000000000011,9.0,2024,Miami,False
110,GAS,Alpine,12.0,12.0,Finished,93.1875,-0.23499999999999943,-0.03260649687761694,1.0829999999999984,12.0,2024,Miami,False
111,PIA,McLaren,6.0,13.0,Finished,92.686,0.7040000000000077,0.060530690537084104,0.4339999999999975,6.0,2024,Miami,False
112,ZHO,Kick Sauber,19.0,14.0,Finished,93.6685,0.25799999999998136,-0.03658538461538496,1.5829999999999984,20.0,2024,Miami,False
113,RIC,RB,20.0,15.0,Finished,93.8035,0.6329999999999956,-0.042305384615383336,1.3760000000000048,18.0,2024,Miami,False
114,BOT,Kick Sauber,16.0,16.0,Finished,93.41050000000001,-0.25799999999998136,-0.02272773191237448,1.2219999999999942,16.0,2024,Miami,False
115,STR,Aston Martin,11.0,17.0,Finished,93.476,0.021500000000003183,-0.035614501411012994,0.9809999999999945,11.0,2024,Miami,False
116,ALB,Williams,14.0,18.0,Finished,93.5955,-0.23749999999999716,-0.024971690400493424,1.171999999999997,14.0,2024,Miami,False
117,MAG,Haas F1 Team,18.0,19.0,Finished,93.14099999999999,-0.05299999999999727,0.057355039787797324,1.3780000000000001,19.0,2024,Miami,False
118,SAR,Williams,17.0,20.0,Retired,93.833,0.23749999999999716,0.011025827045849692,1.2459999999999951,17.0,2024,Miami,True
119,VER,Red Bull Racing,1.0,1.0,Finished,80.8,-1.1400000000000006,0.000616150563519266,0.0,1.0,2024,Imola,False
120,NOR,McLaren,2.0,2.0,Finished,80.816,-0.1629999999999967,-0.015536960600376399,0.09100000000000819,3.0,2024,Imola,False
121,LEC,Ferrari,3.0,3.0,Finished,80.928,-0.23199999999999932,0.007694642010431241,0.22400000000000375,4.0,2024,Imola,False
122,PIA,McLaren,5.0,4.0,Finished,80.979,0.1629999999999967,0.00378502024291388,0.07399999999999807,2.0,2024,Imola,False
123,SAI,Ferrari,4.0,5.0,Finished,81.16,0.23199999999999932,0.006638655462184705,0.487000000000009,5.0,2024,Imola,False
124,HAM,Mercedes,8.0,6.0,Finished,81.415,0.20600000000000307,-0.006571428571429312,0.7580000000000098,8.0,2024,Imola,False
125,RUS,Mercedes,6.0,7.0,Finished,81.209,-0.20600000000000307,0.05298618048618037,0.48799999999999955,6.0,2024,Imola,False
126,PER,Red Bull Racing,11.0,8.0,Finished,81.94,1.1400000000000006,-0.0031023076923079817,0.960000000000008,11.0,2024,Imola,False
127,STR,Aston Martin,13.0,9.0,Finished,82.392,-0.29400000000001114,0.020306153846154272,1.2460000000000093,13.0,2024,Imola,False
128,TSU,RB,7.0,10.0,Lapped,82.31049999999999,0.02049999999999841,0.006916428571428042,0.7190000000000083,7.0,2024,Imola,False
129,HUL,Haas F1 Team,10.0,11.0,Lapped,82.434,-0.3714999999999975,0.008964339991315993,1.2340000000000089,10.0,2024,Imola,False
130,MAG,Haas F1 Team,18.0,12.0,Lapped,82.8055,0.3714999999999975,-0.022119130434781625,2.108000000000004,18.0,2024,Imola,False
131,RIC,RB,9.0,13.0,Lapped,82.28999999999999,-0.02049999999999841,0.010750684273708502,0.9280000000000115,9.0,2024,Imola,False
132,OCO,Alpine,12.0,14.0,Lapped,82.759,0.3639999999999901,0.020848005148004632,1.1600000000000108,12.0,2024,Imola,False
133,ZHO,Kick Sauber,17.0,15.0,Lapped,82.9565,0.2195000000000107,0.04319868637109941,2.088000000000008,17.0,2024,Imola,False
134,GAS,Alpine,15.0,16.0,Lapped,82.39500000000001,-0.3639999999999901,0.0542601872327891,1.6350000000000051,15.0,2024,Imola,False
135,SAR,Williams,19.0,17.0,Lapped,82.98849999999999,1.149499999999989,0.03267719688542741,,20.0,2024,Imola,False
136,BOT,Kick Sauber,16.0,18.0,Lapped,82.737,-0.2195000000000107,0.05044444444444412,1.8800000000000097,16.0,2024,Imola,False
137,ALO,Aston Martin,20.0,19.0,Lapped,82.686,0.29400000000001114,0.08405477430555698,2.1710000000000065,19.0,2024,Imola,False
138,ALB,Williams,14.0,20.0,Retired,81.839,-1.149499999999989,0.03888779402415645,1.4540000000000077,14.0,2024,Imola,True
139,LEC,Ferrari,1.0,1.0,Finished,78.506,-0.06199999999999761,-0.06763552402746013,0.0,1.0,2024,Monaco,False
140,PIA,McLaren,2.0,2.0,Finished,78.523,0.11999999999999034,-0.06388082379862733,0.15400000000001057,2.0,2024,Monaco,False
141,SAI,Ferrari,3.0,3.0,Finished,78.568,0.06199999999999761,-0.06671677803203681,0.24800000000000466,3.0,2024,Monaco,False
142,NOR,McLaren,4.0,4.0,Finished,78.403,-0.11999999999999034,-0.0674511487414195,0.27200000000000557,4.0,2024,Monaco,False
143,RUS,Mercedes,5.0,5.0,Finished,78.63749999999999,0.12749999999998352,-0.08942022368114796,0.27300000000001035,5.0,2024,Monaco,False
144,VER,Red Bull Racing,6.0,6.0,Finished,78.5505,,-0.06029229729729807,0.29699999999999704,6.0,2024,Monaco,False
145,HAM,Mercedes,7.0,7.0,Finished,78.51,-0.12749999999998352,-0.07794121338011976,0.3509999999999991,7.0,2024,Monaco,False
146,TSU,RB,8.0,8.0,Lapped,80.164,-0.6805000000000092,-0.0670995043045206,0.5880000000000081,8.0,2024,Monaco,False
147,ALB,Williams,9.0,9.0,Lapped,80.185,-0.6640000000000015,-0.05536160058680346,0.6779999999999973,9.0,2024,Monaco,False
148,GAS,Alpine,10.0,10.0,Lapped,80.233,,-0.05987170057522271,1.041000000000011,10.0,2024,Monaco,False
149,ALO,Aston Martin,14.0,11.0,Lapped,80.636,0.7689999999999912,-0.06156571073335865,1.7490000000000094,14.0,2024,Monaco,False
150,RIC,RB,12.0,12.0,Lapped,80.84450000000001,0.6805000000000092,-0.06260870734476785,1.2120000000000033,12.0,2024,Monaco,False
151,BOT,Kick Sauber,17.0,13.0,Lapped,80.525,-0.42099999999999227,-0.10776682134667996,2.2420000000000044,17.0,2024,Monaco,False
152,STR,Aston Martin,13.0,14.0,Lapped,79.867,-0.7689999999999912,-0.061792172119436654,1.2930000000000064,13.0,2024,Monaco,False
153,SAR,Williams,15.0,15.0,Lapped,80.849,0.6640000000000015,-0.017450972062754606,1.75,15.0,2024,Monaco,False
154,ZHO,Kick Sauber,18.0,16.0,Lapped,80.946,0.42099999999999227,-0.0897236923226289,2.7580000000000098,18.0,2024,Monaco,False
155,OCO,Alpine,11.0,17.0,Retired,,,,1.0150000000000006,11.0,2024,Monaco,True
156,PER,Red Bull Racing,16.0,18.0,Retired,,,,1.7900000000000063,16.0,2024,Monaco,True
157,HUL,Haas F1 Team,19.0,19.0,Retired,,,,1.1700000000000017,14.0,2024,Monaco,True
158,MAG,Haas F1 Team,20.0,20.0,Retired,,,,1.4549999999999983,15.0,2024,Monaco,True
159,VER,Red Bull Racing,2.0,1.0,Finished,86.3525,-2.352499999999992,-0.31520432989096175,0.0,2.0,2024,Montréal,False
160,NOR,McLaren,3.0,2.0,Finished,85.7425,-0.08449999999999136,-0.298659239152263,0.021000000000000796,3.0,2024,Montréal,False
161,RUS,Mercedes,1.0,3.0,Finished,86.7045,0.2535000000000025,-0.4270172601229619,0.0,1.0,2024,Montréal,False
162,HAM,Mercedes,7.0,4.0,Finished,86.451,-0.2535000000000025,-0.620037998021754,0.28000000000000114,7.0,2024,Montréal,False
163,PIA,McLaren,4.0,5.0,Finished,85.827,0.08449999999999136,-0.3479952481232065,0.10299999999999443,4.0,2024,Montréal,False
164,ALO,Aston Martin,6.0,6.0,Finished,86.318,-0.7875000000000085,-0.4047694851666773,0.22799999999999443,6.0,2024,Montréal,False
165,STR,Aston Martin,9.0,7.0,Finished,87.1055,0.7875000000000085,-0.344622077689597,0.7009999999999934,9.0,2024,Montréal,False
166,RIC,RB,5.0,8.0,Finished,86.6815,-0.3575000000000017,-0.3894201895004532,0.17799999999999727,5.0,2024,Montréal,False
167,GAS,Alpine,15.0,9.0,Finished,87.412,-0.069500000000005,-0.3559617751326384,0.9399999999999977,15.0,2024,Montréal,False
168,OCO,Alpine,18.0,10.0,Finished,87.48150000000001,0.069500000000005,-0.22234764207980684,1.4350000000000023,18.0,2024,Montréal,False
169,HUL,Haas F1 Team,17.0,11.0,Finished,87.2085,-0.3684999999999974,-0.3536344876641455,1.9779999999999944,19.0,2024,Montréal,False
170,MAG,Haas F1 Team,14.0,12.0,Finished,87.577,0.3684999999999974,-0.5628200376263836,0.9159999999999968,14.0,2024,Montréal,False
171,BOT,Kick Sauber,19.0,13.0,Finished,87.936,-0.29399999999999693,-0.24679134172279232,1.3659999999999997,17.0,2024,Montréal,False
172,TSU,RB,8.0,14.0,Finished,87.039,0.3575000000000017,-0.24538681983071345,0.4140000000000015,8.0,2024,Montréal,False
173,ZHO,Kick Sauber,20.0,15.0,Lapped,88.23,0.29399999999999693,-0.7844071214666034,2.2920000000000016,20.0,2024,Montréal,False
174,SAI,Ferrari,12.0,16.0,Retired,88.45,-0.7210000000000036,-0.631991350901048,0.7279999999999944,12.0,2024,Montréal,True
175,ALB,Williams,10.0,17.0,Retired,88.734,-1.2150000000000034,-0.5771627172562257,0.7960000000000065,10.0,2024,Montréal,True
176,PER,Red Bull Racing,16.0,18.0,Retired,88.705,2.352499999999992,-0.7610888698815115,1.3259999999999934,16.0,2024,Montréal,True
177,LEC,Ferrari,11.0,19.0,Retired,89.171,0.7210000000000036,-0.3910714285714267,0.6910000000000025,11.0,2024,Montréal,True
178,SAR,Williams,13.0,20.0,Retired,89.949,1.2150000000000034,,0.7360000000000042,13.0,2024,Montréal,True
179,VER,Red Bull Racing,2.0,1.0,Finished,79.7975,0.04799999999998761,0.030925015202189602,0.020000000000010232,2.0,2024,Barcelona,False
180,NOR,McLaren,1.0,2.0,Finished,79.701,-0.16300000000001091,0.025711325308156435,0.0,1.0,2024,Barcelona,False
181,HAM,Mercedes,3.0,3.0,Finished,79.9435,0.07949999999999591,0.027629006516148063,0.31799999999999784,3.0,2024,Barcelona,False
182,RUS,Mercedes,4.0,4.0,Finished,79.864,-0.07949999999999591,0.0299735119047607,0.3200000000000074,4.0,2024,Barcelona,False
183,LEC,Ferrari,5.0,5.0,Finished,79.72800000000001,-0.2879999999999825,0.04852951568555398,0.347999999999999,5.0,2024,Barcelona,False
184,SAI,Ferrari,6.0,6.0,Finished,80.01599999999999,0.2879999999999825,0.012751289682539501,0.35300000000000864,6.0,2024,Barcelona,False
185,PIA,McLaren,9.0,7.0,Finished,79.864,0.16300000000001091,0.01023961038960976,0.6280000000000001,10.0,2024,Barcelona,False
186,PER,Red Bull Racing,11.0,8.0,Finished,79.74950000000001,-0.04799999999998761,0.06942990196078631,0.6780000000000115,8.0,2024,Barcelona,False
187,GAS,Alpine,7.0,9.0,Finished,80.4255,-0.23699999999999477,0.04293272521622124,0.47400000000000375,7.0,2024,Barcelona,False
188,OCO,Alpine,8.0,10.0,Finished,80.6625,0.23699999999999477,0.028323641036623517,0.7420000000000044,9.0,2024,Barcelona,False
189,HUL,Haas F1 Team,13.0,11.0,Finished,80.9755,-0.31150000000000944,0.015680272055309925,0.9270000000000067,13.0,2024,Barcelona,False
190,ALO,Aston Martin,10.0,12.0,Lapped,81.093,-0.16899999999999693,0.029220889787662095,0.7450000000000045,11.0,2024,Barcelona,False
191,ZHO,Kick Sauber,15.0,13.0,Lapped,81.23,-0.3569999999999993,0.03505175228050127,1.355000000000004,15.0,2024,Barcelona,False
192,STR,Aston Martin,14.0,14.0,Lapped,81.262,0.16899999999999693,0.015241123169916734,0.9890000000000043,14.0,2024,Barcelona,False
193,RIC,RB,18.0,15.0,Lapped,81.337,-0.13799999999999102,-0.039171342155008886,1.6920000000000073,18.0,2024,Barcelona,False
194,BOT,Kick Sauber,12.0,16.0,Lapped,81.587,0.3569999999999993,0.06935260049965959,0.8440000000000083,12.0,2024,Barcelona,False
195,MAG,Haas F1 Team,16.0,17.0,Lapped,81.287,0.31150000000000944,0.0443142439668162,1.554000000000002,16.0,2024,Barcelona,False
196,ALB,Williams,20.0,18.0,Lapped,81.4535,-0.7354999999999876,0.04638016528925511,1.7700000000000102,19.0,2024,Barcelona,False
197,TSU,RB,17.0,19.0,Lapped,81.475,0.13799999999999102,0.057718597965501654,1.6020000000000039,17.0,2024,Barcelona,False
198,SAR,Williams,19.0,20.0,Lapped,82.189,0.7354999999999876,0.08852519126351416,2.1260000000000048,20.0,2024,Barcelona,False
